current_state,previous_state,estimate,margin_of_error,year
NC,WV,3387,1134.0,2015
NC,WY,582,435.0,2015
NC,AK,2059,1052.0,2016
NC,AL,3491,1552.0,2016
NC,AR,1135,644.0,2016
NC,AZ,3539,1228.0,2016
NC,CA,17653,2958.0,2016
NC,CO,4285,1353.0,2016
NC,CT,7425,2315.0,2016
NC,DC,1737,813.0,2016
NC,DE,955,841.0,2016
NC,FL,32234,4173.0,2016
NC,GA,24882,4888.0,2016
NC,HI,1365,858.0,2016
NC,IA,480,365.0,2016
NC,ID,1267,855.0,2016
NC,IL,8568,1928.0,2016
NC,IN,4211,1981.0,2016
NC,KS,2245,1799.0,2016
NC,KY,3409,1504.0,2016
NC,LA,2562,1282.0,2016
NC,MA,5116,1978.0,2016
NC,MD,9671,1818.0,2016
NC,ME,1324,947.0,2016
NC,MI,6818,2370.0,2016
NC,MN,1782,834.0,2016
NC,MO,4563,2065.0,2016
NC,MS,1509,1008.0,2016
NC,MT,139,178.0,2016
NC,ND,668,510.0,2016
NC,NE,164,195.0,2016
NC,NH,1548,652.0,2016
NC,NJ,11706,2825.0,2016
NC,NM,462,357.0,2016
NC,NV,2111,987.0,2016
NC,NY,29702,4307.0,2016
NC,OH,9665,2081.0,2016
NC,OK,2997,1582.0,2016
NC,OR,1263,743.0,2016
NC,PA,13506,2292.0,2016
NC,RI,897,705.0,2016
NC,SC,32088,5480.0,2016
NC,SD,743,701.0,2016
NC,TN,8233,2559.0,2016
NC,TX,11981,2487.0,2016
NC,UT,1271,845.0,2016
NC,VA,35641,5098.0,2016
NC,VT,608,492.0,2016
NC,WA,4751,2008.0,2016
NC,WI,2600,1205.0,2016
NC,WV,3722,1222.0,2016
NC,WY,145,175.0,2016
NC,AK,1401,788.0,2017
NC,AL,4526,1707.0,2017
NC,AR,747,447.0,2017
NC,AZ,5624,2646.0,2017
NC,CA,22469,4025.0,2017
NC,CO,4021,1511.0,2017
NC,CT,5780,2039.0,2017
NC,DC,2183,883.0,2017
NC,DE,1186,653.0,2017
NC,FL,33594,4235.0,2017
NC,GA,16892,3013.0,2017
NC,HI,1463,974.0,2017
NC,IA,978,692.0,2017
NC,ID,97,163.0,2017
