current_region,previous_division,year,estimate
West,East South Central,2013,51895
West,East South Central,2014,50882
West,East South Central,2015,56347
West,East South Central,2016,55370
West,East South Central,2017,49990
West,East South Central,2018,52404
West,East South Central,2019,50797
West,Middle Atlantic,2010,90055
West,Middle Atlantic,2011,97587
West,Middle Atlantic,2012,116334
West,Middle Atlantic,2013,115958
West,Middle Atlantic,2014,127044
West,Middle Atlantic,2015,126035
West,Middle Atlantic,2016,139283
West,Middle Atlantic,2017,133603
West,Middle Atlantic,2018,127204
West,Middle Atlantic,2019,125741
West,Mountain,2010,348792
West,Mountain,2011,389991
West,Mountain,2012,377154
West,Mountain,2013,380015
West,Mountain,2014,395485
West,Mountain,2015,376275
West,Mountain,2016,381000
West,Mountain,2017,360236
West,Mountain,2018,370034
West,Mountain,2019,367554
West,New England,2010,46701
West,New England,2011,42514
West,New England,2012,56924
West,New England,2013,50726
West,New England,2014,48941
West,New England,2015,61650
West,New England,2016,56432
West,New England,2017,57823
West,New England,2018,63378
West,New England,2019,66017
West,Pacific,2010,469022
West,Pacific,2011,489422
West,Pacific,2012,494941
West,Pacific,2013,504479
West,Pacific,2014,516736
West,Pacific,2015,536173
West,Pacific,2016,541703
West,Pacific,2017,549003
West,Pacific,2018,588521
West,Pacific,2019,534244
West,South Atlantic,2010,206428
West,South Atlantic,2011,208592
West,South Atlantic,2012,209555
West,South Atlantic,2013,231323
West,South Atlantic,2014,227886
West,South Atlantic,2015,248472
West,South Atlantic,2016,261104
West,South Atlantic,2017,264952
West,South Atlantic,2018,256318
West,South Atlantic,2019,251364
West,West North Central,2010,102138
West,West North Central,2011,106270
West,West North Central,2012,111863
West,West North Central,2013,119520
West,West North Central,2014,126300
West,West North Central,2015,122606
West,West North Central,2016,127320
West,West North Central,2017,128369
West,West North Central,2018,123745
West,West North Central,2019,112417
West,West South Central,2010,171459
West,West South Central,2011,162727
West,West South Central,2012,169060
West,West South Central,2013,177468
West,West South Central,2014,191653
West,West South Central,2015,188609
West,West South Central,2016,189087
West,West South Central,2017,191051
West,West South Central,2018,192848
West,West South Central,2019,191961
