previous_state,estimate,margin_of_error,year
OR,1175,826.0,2011
NM,1143,736.0,2013
NM,1138,705.0,2012
AR,1135,644.0,2016
DC,1135,591.0,2011
UT,1125,738.0,2019
DE,1111,594.0,2013
NE,1096,808.0,2014
NV,1094,773.0,2019
UT,1084,861.0,2013
IA,1077,806.0,2010
OK,1067,637.0,2015
NE,1056,1334.0,2011
NE,1052,584.0,2018
NV,1048,716.0,2011
NM,1047,892.0,2017
WY,1046,920.0,2018
MS,1029,688.0,2014
HI,1016,656.0,2013
ME,1014,658.0,2017
MT,1004,803.0,2019
ND,980,952.0,2019
IA,978,692.0,2017
UT,961,692.0,2011
DE,955,841.0,2016
DE,954,600.0,2011
NM,930,822.0,2014
LA,919,758.0,2012
RI,897,705.0,2016
WY,870,819.0,2010
NH,867,593.0,2019
VT,863,636.0,2013
AR,861,649.0,2012
NV,857,752.0,2018
KS,857,529.0,2019
RI,838,626.0,2015
ME,824,663.0,2011
MS,818,347.0,2019
DE,812,539.0,2014
UT,790,551.0,2010
IA,775,524.0,2012
NH,754,525.0,2012
ID,750,767.0,2013
MT,750,622.0,2013
AR,747,447.0,2017
SD,743,701.0,2016
OR,733,582.0,2015
ID,729,787.0,2015
ID,724,564.0,2010
MS,721,408.0,2015
AR,707,598.0,2015
NV,698,639.0,2010
VT,691,577.0,2015
OK,685,410.0,2014
ID,675,615.0,2011
WY,675,644.0,2014
ND,668,510.0,2016
UT,655,541.0,2014
IA,654,530.0,2011
NE,648,506.0,2013
NE,628,628.0,2012
UT,623,401.0,2017
ME,615,581.0,2013
VT,608,492.0,2016
WY,604,687.0,2012
WY,582,435.0,2015
AK,578,475.0,2015
MT,576,666.0,2015
AR,571,371.0,2014
ND,571,448.0,2017
SD,565,609.0,2011
VT,564,388.0,2014
MT,563,549.0,2011
RI,560,349.0,2013
AR,550,306.0,2010
SD,542,560.0,2014
ME,526,339.0,2019
VT,524,486.0,2017
NE,516,357.0,2010
ND,501,355.0,2014
IA,480,365.0,2016
DE,479,354.0,2010
ID,476,326.0,2019
NM,462,357.0,2016
VT,445,291.0,2012
RI,444,384.0,2011
VT,435,343.0,2019
MT,433,437.0,2017
SD,362,304.0,2010
SD,351,186.0,2012
VT,350,244.0,2010
ID,334,256.0,2012
MT,331,417.0,2018
AR,327,322.0,2011
ID,293,272.0,2014
RI,290,198.0,2012
NH,273,226.0,2017
NE,259,275.0,2017
ID,244,255.0,2018
MT,244,306.0,2012
ND,243,402.0,2010
RI,234,226.0,2017
MT,230,274.0,2010
NE,217,240.0,2019
VT,212,345.0,2011
MT,207,245.0,2014
ND,206,232.0,2012
ND,189,272.0,2011
SD,185,394.0,2019
ND,177,217.0,2018
NE,164,195.0,2016
WY,161,239.0,2019
WY,159,212.0,2017
WY,153,228.0,2011
WY,145,175.0,2016
MT,139,178.0,2016
ID,97,163.0,2017
RI,97,161.0,2010
SD,57,100.0,2018
WY,35,56.0,2013
SD,12,22.0,2017
ND,0,149.0,2013
SD,0,155.0,2013
