current_state,previous_state,estimate,year,id,name,abbrv,level,parent_id
AK,VA,684,2014,02,Alaska,AK,state,D9
AK,VT,115,2014,02,Alaska,AK,state,D9
AK,WA,4841,2014,02,Alaska,AK,state,D9
AK,WI,459,2014,02,Alaska,AK,state,D9
AK,WV,0,2014,02,Alaska,AK,state,D9
AK,WY,107,2014,02,Alaska,AK,state,D9
AK,AL,279,2015,02,Alaska,AK,state,D9
AK,AR,73,2015,02,Alaska,AK,state,D9
AK,AZ,658,2015,02,Alaska,AK,state,D9
AK,CA,3062,2015,02,Alaska,AK,state,D9
AK,CO,1815,2015,02,Alaska,AK,state,D9
AK,CT,109,2015,02,Alaska,AK,state,D9
AK,DC,0,2015,02,Alaska,AK,state,D9
AK,DE,0,2015,02,Alaska,AK,state,D9
AK,FL,1473,2015,02,Alaska,AK,state,D9
AK,GA,1044,2015,02,Alaska,AK,state,D9
AK,HI,732,2015,02,Alaska,AK,state,D9
AK,IA,193,2015,02,Alaska,AK,state,D9
AK,ID,544,2015,02,Alaska,AK,state,D9
AK,IL,819,2015,02,Alaska,AK,state,D9
AK,IN,138,2015,02,Alaska,AK,state,D9
AK,KS,434,2015,02,Alaska,AK,state,D9
AK,KY,238,2015,02,Alaska,AK,state,D9
AK,LA,210,2015,02,Alaska,AK,state,D9
AK,MA,449,2015,02,Alaska,AK,state,D9
AK,MD,444,2015,02,Alaska,AK,state,D9
AK,ME,17,2015,02,Alaska,AK,state,D9
AK,MI,955,2015,02,Alaska,AK,state,D9
AK,MN,1173,2015,02,Alaska,AK,state,D9
AK,MO,905,2015,02,Alaska,AK,state,D9
AK,MS,0,2015,02,Alaska,AK,state,D9
AK,MT,461,2015,02,Alaska,AK,state,D9
AK,NC,2078,2015,02,Alaska,AK,state,D9
AK,ND,71,2015,02,Alaska,AK,state,D9
AK,NE,233,2015,02,Alaska,AK,state,D9
AK,NH,338,2015,02,Alaska,AK,state,D9
AK,NJ,0,2015,02,Alaska,AK,state,D9
AK,NM,766,2015,02,Alaska,AK,state,D9
AK,NV,2129,2015,02,Alaska,AK,state,D9
AK,NY,1028,2015,02,Alaska,AK,state,D9
AK,OH,408,2015,02,Alaska,AK,state,D9
AK,OK,780,2015,02,Alaska,AK,state,D9
AK,OR,1389,2015,02,Alaska,AK,state,D9
AK,PA,263,2015,02,Alaska,AK,state,D9
AK,RI,0,2015,02,Alaska,AK,state,D9
AK,SC,873,2015,02,Alaska,AK,state,D9
AK,SD,312,2015,02,Alaska,AK,state,D9
AK,TN,133,2015,02,Alaska,AK,state,D9
AK,TX,2196,2015,02,Alaska,AK,state,D9
AK,UT,337,2015,02,Alaska,AK,state,D9
AK,VA,521,2015,02,Alaska,AK,state,D9
AK,VT,53,2015,02,Alaska,AK,state,D9
AK,WA,3988,2015,02,Alaska,AK,state,D9
AK,WI,161,2015,02,Alaska,AK,state,D9
AK,WV,0,2015,02,Alaska,AK,state,D9
AK,WY,414,2015,02,Alaska,AK,state,D9
AK,AL,423,2016,02,Alaska,AK,state,D9
AK,AR,65,2016,02,Alaska,AK,state,D9
AK,AZ,1176,2016,02,Alaska,AK,state,D9
AK,CA,3593,2016,02,Alaska,AK,state,D9
AK,CO,1401,2016,02,Alaska,AK,state,D9
AK,CT,0,2016,02,Alaska,AK,state,D9
AK,DC,0,2016,02,Alaska,AK,state,D9
AK,DE,79,2016,02,Alaska,AK,state,D9
AK,FL,1100,2016,02,Alaska,AK,state,D9
AK,GA,2208,2016,02,Alaska,AK,state,D9
AK,HI,561,2016,02,Alaska,AK,state,D9
AK,IA,142,2016,02,Alaska,AK,state,D9
AK,ID,361,2016,02,Alaska,AK,state,D9
AK,IL,715,2016,02,Alaska,AK,state,D9
AK,IN,126,2016,02,Alaska,AK,state,D9
AK,KS,1831,2016,02,Alaska,AK,state,D9
AK,KY,703,2016,02,Alaska,AK,state,D9
AK,LA,273,2016,02,Alaska,AK,state,D9
AK,MA,44,2016,02,Alaska,AK,state,D9
AK,MD,0,2016,02,Alaska,AK,state,D9
AK,ME,147,2016,02,Alaska,AK,state,D9
AK,MI,133,2016,02,Alaska,AK,state,D9
AK,MN,236,2016,02,Alaska,AK,state,D9
AK,MO,281,2016,02,Alaska,AK,state,D9
AK,MS,92,2016,02,Alaska,AK,state,D9
AK,MT,832,2016,02,Alaska,AK,state,D9
AK,NC,714,2016,02,Alaska,AK,state,D9
AK,ND,58,2016,02,Alaska,AK,state,D9
AK,NE,0,2016,02,Alaska,AK,state,D9
AK,NH,32,2016,02,Alaska,AK,state,D9
AK,NJ,270,2016,02,Alaska,AK,state,D9
AK,NM,198,2016,02,Alaska,AK,state,D9
AK,NV,534,2016,02,Alaska,AK,state,D9
AK,NY,910,2016,02,Alaska,AK,state,D9
AK,OH,100,2016,02,Alaska,AK,state,D9
AK,OK,806,2016,02,Alaska,AK,state,D9
AK,OR,1301,2016,02,Alaska,AK,state,D9
AK,PA,574,2016,02,Alaska,AK,state,D9
AK,RI,0,2016,02,Alaska,AK,state,D9
AK,SC,281,2016,02,Alaska,AK,state,D9
AK,SD,370,2016,02,Alaska,AK,state,D9
AK,TN,243,2016,02,Alaska,AK,state,D9
AK,TX,1675,2016,02,Alaska,AK,state,D9
AK,UT,725,2016,02,Alaska,AK,state,D9
AK,VA,462,2016,02,Alaska,AK,state,D9
AK,VT,86,2016,02,Alaska,AK,state,D9
AK,WA,4888,2016,02,Alaska,AK,state,D9
AK,WI,260,2016,02,Alaska,AK,state,D9
AK,WV,0,2016,02,Alaska,AK,state,D9
AK,WY,291,2016,02,Alaska,AK,state,D9
AK,AL,942,2017,02,Alaska,AK,state,D9
AK,AR,203,2017,02,Alaska,AK,state,D9
AK,AZ,1387,2017,02,Alaska,AK,state,D9
AK,CA,3556,2017,02,Alaska,AK,state,D9
AK,CO,1487,2017,02,Alaska,AK,state,D9
AK,CT,0,2017,02,Alaska,AK,state,D9
AK,DC,0,2017,02,Alaska,AK,state,D9
AK,DE,0,2017,02,Alaska,AK,state,D9
AK,FL,906,2017,02,Alaska,AK,state,D9
AK,GA,422,2017,02,Alaska,AK,state,D9
AK,HI,424,2017,02,Alaska,AK,state,D9
AK,IA,1083,2017,02,Alaska,AK,state,D9
AK,ID,225,2017,02,Alaska,AK,state,D9
AK,IL,723,2017,02,Alaska,AK,state,D9
AK,IN,186,2017,02,Alaska,AK,state,D9
AK,KS,17,2017,02,Alaska,AK,state,D9
AK,KY,397,2017,02,Alaska,AK,state,D9
AK,LA,327,2017,02,Alaska,AK,state,D9
AK,MA,111,2017,02,Alaska,AK,state,D9
AK,MD,325,2017,02,Alaska,AK,state,D9
AK,ME,225,2017,02,Alaska,AK,state,D9
AK,MI,524,2017,02,Alaska,AK,state,D9
AK,MN,1077,2017,02,Alaska,AK,state,D9
AK,MO,143,2017,02,Alaska,AK,state,D9
AK,MS,172,2017,02,Alaska,AK,state,D9
AK,MT,156,2017,02,Alaska,AK,state,D9
AK,NC,345,2017,02,Alaska,AK,state,D9
AK,ND,103,2017,02,Alaska,AK,state,D9
AK,NE,282,2017,02,Alaska,AK,state,D9
AK,NH,0,2017,02,Alaska,AK,state,D9
AK,NJ,485,2017,02,Alaska,AK,state,D9
AK,NM,64,2017,02,Alaska,AK,state,D9
AK,NV,633,2017,02,Alaska,AK,state,D9
AK,NY,757,2017,02,Alaska,AK,state,D9
AK,OH,448,2017,02,Alaska,AK,state,D9
AK,OK,373,2017,02,Alaska,AK,state,D9
AK,OR,1232,2017,02,Alaska,AK,state,D9
AK,PA,274,2017,02,Alaska,AK,state,D9
AK,RI,216,2017,02,Alaska,AK,state,D9
AK,SC,270,2017,02,Alaska,AK,state,D9
AK,SD,6,2017,02,Alaska,AK,state,D9
AK,TN,544,2017,02,Alaska,AK,state,D9
AK,TX,2165,2017,02,Alaska,AK,state,D9
AK,UT,465,2017,02,Alaska,AK,state,D9
AK,VA,360,2017,02,Alaska,AK,state,D9
AK,VT,0,2017,02,Alaska,AK,state,D9
AK,WA,3653,2017,02,Alaska,AK,state,D9
AK,WI,2500,2017,02,Alaska,AK,state,D9
AK,WV,0,2017,02,Alaska,AK,state,D9
AK,WY,6,2017,02,Alaska,AK,state,D9
AK,AL,518,2018,02,Alaska,AK,state,D9
AK,AR,722,2018,02,Alaska,AK,state,D9
AK,AZ,910,2018,02,Alaska,AK,state,D9
AK,CA,3455,2018,02,Alaska,AK,state,D9
AK,CO,1847,2018,02,Alaska,AK,state,D9
AK,CT,0,2018,02,Alaska,AK,state,D9
AK,DC,74,2018,02,Alaska,AK,state,D9
AK,DE,0,2018,02,Alaska,AK,state,D9
AK,FL,1172,2018,02,Alaska,AK,state,D9
AK,GA,565,2018,02,Alaska,AK,state,D9
AK,HI,1029,2018,02,Alaska,AK,state,D9
AK,IA,26,2018,02,Alaska,AK,state,D9
AK,ID,497,2018,02,Alaska,AK,state,D9
AK,IL,1024,2018,02,Alaska,AK,state,D9
AK,IN,165,2018,02,Alaska,AK,state,D9
AK,KS,800,2018,02,Alaska,AK,state,D9
AK,KY,162,2018,02,Alaska,AK,state,D9
AK,LA,83,2018,02,Alaska,AK,state,D9
AK,MA,170,2018,02,Alaska,AK,state,D9
AK,MD,548,2018,02,Alaska,AK,state,D9
AK,ME,16,2018,02,Alaska,AK,state,D9
AK,MI,791,2018,02,Alaska,AK,state,D9
AK,MN,586,2018,02,Alaska,AK,state,D9
AK,MO,938,2018,02,Alaska,AK,state,D9
AK,MS,330,2018,02,Alaska,AK,state,D9
AK,MT,534,2018,02,Alaska,AK,state,D9
AK,NC,1676,2018,02,Alaska,AK,state,D9
AK,ND,210,2018,02,Alaska,AK,state,D9
AK,NE,413,2018,02,Alaska,AK,state,D9
AK,NH,0,2018,02,Alaska,AK,state,D9
AK,NJ,335,2018,02,Alaska,AK,state,D9
AK,NM,489,2018,02,Alaska,AK,state,D9
AK,NV,2013,2018,02,Alaska,AK,state,D9
AK,NY,380,2018,02,Alaska,AK,state,D9
AK,OH,176,2018,02,Alaska,AK,state,D9
AK,OK,184,2018,02,Alaska,AK,state,D9
AK,OR,1896,2018,02,Alaska,AK,state,D9
AK,PA,111,2018,02,Alaska,AK,state,D9
AK,RI,38,2018,02,Alaska,AK,state,D9
AK,SC,389,2018,02,Alaska,AK,state,D9
AK,SD,175,2018,02,Alaska,AK,state,D9
AK,TN,171,2018,02,Alaska,AK,state,D9
AK,TX,2322,2018,02,Alaska,AK,state,D9
AK,UT,410,2018,02,Alaska,AK,state,D9
AK,VA,654,2018,02,Alaska,AK,state,D9
AK,VT,5,2018,02,Alaska,AK,state,D9
AK,WA,2558,2018,02,Alaska,AK,state,D9
AK,WI,340,2018,02,Alaska,AK,state,D9
AK,WV,0,2018,02,Alaska,AK,state,D9
AK,WY,192,2018,02,Alaska,AK,state,D9
AK,AL,260,2019,02,Alaska,AK,state,D9
AK,AR,12,2019,02,Alaska,AK,state,D9
AK,AZ,886,2019,02,Alaska,AK,state,D9
AK,CA,2547,2019,02,Alaska,AK,state,D9
AK,CO,685,2019,02,Alaska,AK,state,D9
AK,CT,153,2019,02,Alaska,AK,state,D9
AK,DC,69,2019,02,Alaska,AK,state,D9
AK,DE,224,2019,02,Alaska,AK,state,D9
AK,FL,2473,2019,02,Alaska,AK,state,D9
AK,GA,743,2019,02,Alaska,AK,state,D9
AK,HI,217,2019,02,Alaska,AK,state,D9
AK,IA,143,2019,02,Alaska,AK,state,D9
AK,ID,1644,2019,02,Alaska,AK,state,D9
AK,IL,952,2019,02,Alaska,AK,state,D9
AK,IN,0,2019,02,Alaska,AK,state,D9
AK,KS,1296,2019,02,Alaska,AK,state,D9
AK,KY,1017,2019,02,Alaska,AK,state,D9
AK,LA,529,2019,02,Alaska,AK,state,D9
AK,MA,515,2019,02,Alaska,AK,state,D9
AK,MD,339,2019,02,Alaska,AK,state,D9
AK,ME,77,2019,02,Alaska,AK,state,D9
AK,MI,310,2019,02,Alaska,AK,state,D9
AK,MN,417,2019,02,Alaska,AK,state,D9
AK,MO,890,2019,02,Alaska,AK,state,D9
AK,MS,86,2019,02,Alaska,AK,state,D9
AK,MT,113,2019,02,Alaska,AK,state,D9
AK,NC,2557,2019,02,Alaska,AK,state,D9
AK,ND,187,2019,02,Alaska,AK,state,D9
AK,NE,1,2019,02,Alaska,AK,state,D9
AK,NH,0,2019,02,Alaska,AK,state,D9
AK,NJ,0,2019,02,Alaska,AK,state,D9
AK,NM,878,2019,02,Alaska,AK,state,D9
AK,NV,986,2019,02,Alaska,AK,state,D9
AK,NY,329,2019,02,Alaska,AK,state,D9
AK,OH,29,2019,02,Alaska,AK,state,D9
AK,OK,359,2019,02,Alaska,AK,state,D9
AK,OR,750,2019,02,Alaska,AK,state,D9
AK,PA,385,2019,02,Alaska,AK,state,D9
AK,RI,0,2019,02,Alaska,AK,state,D9
AK,SC,448,2019,02,Alaska,AK,state,D9
AK,SD,280,2019,02,Alaska,AK,state,D9
AK,TN,301,2019,02,Alaska,AK,state,D9
AK,TX,4332,2019,02,Alaska,AK,state,D9
AK,UT,1092,2019,02,Alaska,AK,state,D9
AK,VA,2216,2019,02,Alaska,AK,state,D9
AK,VT,44,2019,02,Alaska,AK,state,D9
AK,WA,1435,2019,02,Alaska,AK,state,D9
AK,WI,228,2019,02,Alaska,AK,state,D9
AK,WV,355,2019,02,Alaska,AK,state,D9
AK,WY,242,2019,02,Alaska,AK,state,D9
AL,AK,3013,2010,01,Alabama,AL,state,D6
AL,AR,1481,2010,01,Alabama,AL,state,D6
AL,AZ,676,2010,01,Alabama,AL,state,D6
AL,CA,3827,2010,01,Alabama,AL,state,D6
AL,CO,1278,2010,01,Alabama,AL,state,D6
AL,CT,454,2010,01,Alabama,AL,state,D6
AL,DC,211,2010,01,Alabama,AL,state,D6
AL,DE,811,2010,01,Alabama,AL,state,D6
AL,FL,15062,2010,01,Alabama,AL,state,D6
AL,GA,21644,2010,01,Alabama,AL,state,D6
AL,HI,267,2010,01,Alabama,AL,state,D6
AL,IA,669,2010,01,Alabama,AL,state,D6
AL,ID,304,2010,01,Alabama,AL,state,D6
AL,IL,2503,2010,01,Alabama,AL,state,D6
AL,IN,3945,2010,01,Alabama,AL,state,D6
AL,KS,649,2010,01,Alabama,AL,state,D6
AL,KY,1967,2010,01,Alabama,AL,state,D6
AL,LA,1901,2010,01,Alabama,AL,state,D6
AL,MA,435,2010,01,Alabama,AL,state,D6
AL,MD,716,2010,01,Alabama,AL,state,D6
AL,ME,97,2010,01,Alabama,AL,state,D6
AL,MI,2334,2010,01,Alabama,AL,state,D6
AL,MN,386,2010,01,Alabama,AL,state,D6
AL,MO,1373,2010,01,Alabama,AL,state,D6
AL,MS,7233,2010,01,Alabama,AL,state,D6
AL,MT,229,2010,01,Alabama,AL,state,D6
AL,NC,2371,2010,01,Alabama,AL,state,D6
AL,ND,169,2010,01,Alabama,AL,state,D6
AL,NE,169,2010,01,Alabama,AL,state,D6
